iter	Passed	Remaining
455	903	1077
456	905	1075
457	910	1077
458	911	1074
459	913	1072
460	915	1070
461	917	1068
462	919	1065
463	921	1064
464	923	1063
465	925	1060
466	928	1059
467	929	1056
468	931	1054
469	943	1064
470	945	1062
471	947	1060
472	949	1057
473	951	1055
474	952	1053
475	956	1052
476	957	1050
477	962	1050
478	963	1048
479	971	1052
480	974	1051
481	976	1049
482	978	1047
483	980	1044
484	982	1043
485	985	1041
486	986	1039
487	990	1039
488	992	1037
489	995	1035
490	996	1033
491	998	1031
492	1003	1031
493	1005	1029
494	1006	1027
495	1009	1025
496	1012	1025
497	1015	1023
498	1016	1020
499	1021	1021
500	1029	1025
501	1031	1023
502	1037	1025
503	1039	1023
504	1041	1020
505	1043	1018
506	1044	1016
507	1046	1013
508	1049	1011
509	1050	1009
510	1052	1007
511	1054	1004
512	1056	1002
513	1058	1000
514	1060	998
515	1062	996
516	1063	993
517	1065	991
518	1067	989
519	1069	987
520	1072	985
521	1074	983
522	1075	981
523	1078	979
524	1080	977
525	1082	975
526	1084	973
527	1086	970
528	1088	969
529	1090	967
530	1092	964
531	1093	962
532	1095	959
533	1097	958
534	1100	956
535	1102	954
536	1104	952
537	1107	950
538	1109	949
539	1111	946
540	1113	944
541	1115	942
542	1118	941
543	1119	938
544	1121	936
545	1123	934
546	1125	931
547	1127	929
548	1129	927
549	1131	925
550	1134	924
551	1135	921
552	1137	919
553	1139	917
554	1140	914
555	1142	912
556	1144	909
557	1146	908
558	1148	905
559	1149	903
560	1151	901
561	1153	898
562	1154	896
563	1157	895
564	1162	895
565	1164	892
566	1165	890
567	1168	888
568	1170	886
569	1171	884
570	1173	881
571	1175	879
572	1177	877
573	1179	875
574	1181	873
575	1183	871
576	1184	868
577	1187	866
578	1188	864
579	1191	862
580	1192	860
581	1194	857
582	1197	856
583	1199	854
584	1201	851
585	1203	850
586	1204	847
587	1207	845
588	1208	843
589	1211	841
590	1212	839
591	1214	837
592	1218	836
593	1220	834
594	1222	832
595	1224	829
596	1225	827
597	1229	826
598	1231	824
599	1233	822
600	1234	819
601	1236	817
602	1239	815
603	1240	813
604	1242	811
605	1245	809
606	1247	807
607	1248	805
608	1250	803
609	1252	800
610	1254	798
611	1257	797
612	1259	794
613	1260	792
614	1262	790
615	1264	788
616	1267	786
617	1269	784
618	1270	782
619	1272	779
620	1274	777
621	1277	776
622	1279	774
623	1281	772
624	1283	769
625	1286	768
626	1287	766
627	1289	764
628	1291	761
629	1293	759
630	1295	757
631	1296	755
632	1299	753
633	1300	750
634	1302	748
635	1304	746
636	1306	744
637	1308	742
638	1310	740
639	1313	738
640	1314	736
641	1318	735
642	1319	732
643	1322	731
644	1324	728
645	1326	726
646	1328	724
647	1330	722
648	1332	720
649	1335	719
650	1337	716
651	1339	715
652	1342	713
653	1344	711
654	1345	708
655	1348	706
656	1350	705
657	1352	702
658	1353	700
659	1356	698
660	1358	696
661	1360	694
662	1362	692
663	1363	690
664	1365	687
665	1368	686
666	1370	684
667	1372	682
668	1374	680
669	1377	678
670	1379	676
671	1381	674
672	1383	672
673	1385	670
674	1387	667
675	1389	666
676	1391	664
677	1393	661
678	1397	660
679	1398	658
680	1400	655
681	1401	653
682	1403	651
683	1405	649
684	1408	647
685	1410	645
686	1412	643
687	1413	641
688	1416	639
689	1418	637
690	1420	635
691	1422	633
692	1423	630
693	1425	628
694	1428	627
695	1430	624
696	1433	622
697	1434	620
698	1436	618
699	1438	616
700	1440	614
701	1443	612
702	1444	610
703	1447	608
704	1448	606
705	1450	604
706	1454	602
707	1456	600
708	1458	598
709	1462	597
710	1464	595
711	1466	592
712	1467	590
713	1469	588
714	1471	586
715	1473	584
716	1475	582
717	1477	580
718	1478	577
719	1480	575
720	1482	573
721	1484	571
722	1486	569
723	1487	567
724	1489	564
725	1491	562
726	1493	560
727	1495	558
728	1496	556
729	1498	554
730	1501	552
731	1502	550
732	1504	548
733	1506	545
734	1507	543
735	1509	541
736	1512	539
737	1514	537
738	1515	535
739	1517	533
740	1519	530
741	1521	528
742	1528	528
743	1531	526
744	1533	524
745	1535	522
746	1537	520
747	1539	518
748	1540	516
749	1546	515
750	1548	513
751	1550	511
752	1551	508
753	1554	507
754	1562	506
755	1563	504
756	1568	503
757	1571	501
758	1574	499
759	1577	498
760	1579	496
761	1581	494
762	1585	492
763	1586	490
764	1589	488
765	1591	486
766	1593	483
767	1595	481
768	1597	479
769	1598	477
770	1600	475
771	1601	473
772	1604	471
773	1606	469
774	1608	467
775	1610	464
776	1612	462
777	1617	461
778	1619	459
779	1620	457
780	1622	454
781	1624	452
782	1627	450
783	1629	448
784	1631	446
785	1633	444
786	1634	442
787	1637	440
788	1639	438
789	1641	436
790	1642	434
791	1644	431
792	1647	429
793	1649	427
794	1651	425
795	1653	423
796	1654	421
797	1656	419
798	1658	417
799	1659	414
800	1661	412
801	1663	410
802	1664	408
803	1667	406
804	1669	404
805	1671	402
806	1672	400
807	1674	397
808	1676	395
809	1678	393
810	1679	391
811	1681	389
812	1683	387
813	1686	385
814	1688	383
815	1690	381
816	1692	379
817	1693	376
818	1695	374
819	1697	372
820	1699	370
821	1700	368
822	1702	366
823	1703	363
824	1706	361
825	1708	359
826	1710	357
827	1712	355
828	1713	353
829	1716	351
830	1718	349
831	1720	347
832	1721	345
833	1726	343
834	1727	341
835	1729	339
836	1731	337
837	1735	335
838	1738	333
839	1740	331
840	1742	329
841	1744	327
842	1747	325
843	1749	323
844	1751	321
845	1753	319
846	1756	317
847	1758	315
848	1760	313
849	1762	311
850	1764	309
851	1768	307
852	1770	305
853	1773	303
854	1775	301
855	1776	298
856	1778	296
857	1781	294
858	1783	292
859	1785	290
860	1786	288
861	1788	286
862	1792	284
863	1794	282
864	1795	280
865	1798	278
866	1801	276
867	1803	274
868	1805	272
869	1807	270
870	1808	267
871	1811	265
872	1813	263
873	1815	261
874	1816	259
875	1818	257
876	1822	255
877	1824	253
878	1826	251
879	1827	249
880	1829	247
881	1832	245
882	1833	242
883	1836	240
884	1837	238
885	1839	236
886	1842	234
887	1843	232
888	1845	230
889	1847	228
890	1848	226
891	1851	224
892	1853	222
893	1854	219
894	1856	217
895	1858	215
896	1860	213
897	1862	211
898	1864	209
899	1866	207
900	1867	205
901	1870	203
902	1872	201
903	1875	199
904	1876	196
905	1878	194
906	1880	192
907	1882	190
908	1883	188
909	1885	186
910	1887	184
911	1889	182
912	1891	180
913	1893	178
914	1894	176
915	1896	173
916	1898	171
917	1901	169
918	1903	167
919	1904	165
920	1907	163
921	1909	161
922	1911	159
923	1912	157
924	1914	155
925	1917	153
926	1918	151
927	1921	149
928	1922	146
929	1924	144
930	1926	142
931	1928	140
932	1932	138
933	1934	136
934	1937	134
935	1940	132
936	1942	130
937	1944	128
938	1947	126
939	1950	124
940	1953	122
941	1955	120
942	1957	118
943	1959	116
944	1962	114
945	1964	112
946	1966	110
947	1970	108
948	1972	105
949	1974	103
950	1976	101
951	1979	99
952	1980	97
953	1982	95
954	1984	93
955	1986	91
956	1989	89
957	1991	87
958	1993	85
959	1995	83
960	1997	81
961	1999	78
962	2001	76
963	2002	74
964	2004	72
965	2007	70
966	2009	68
967	2011	66
968	2013	64
969	2016	62
970	2017	60
971	2019	58
972	2021	56
973	2023	54
974	2025	51
975	2027	49
976	2029	47
977	2031	45
978	2032	43
979	2037	41
980	2039	39
981	2041	37
982	2043	35
983	2044	33
984	2046	31
985	2048	29
986	2049	26
987	2051	24
988	2055	22
989	2057	20
990	2059	18
991	2061	16
992	2063	14
993	2065	12
994	2067	10
995	2069	8
996	2070	6
997	2072	4
998	2075	2
999	2076	0
