iter	MultiClass
122	0.868233583
123	0.8614678395
124	0.8552245389
125	0.8486600486
126	0.8421679477
127	0.8355974115
128	0.8290425575
129	0.8225972873
130	0.816228995
131	0.8100589095
132	0.8038252076
133	0.797650609
134	0.7916685537
135	0.7857525645
136	0.7797048601
137	0.7737718212
138	0.768036951
139	0.7622677715
140	0.7565156197
141	0.7508005215
142	0.7451111727
143	0.7395297145
144	0.7340489078
145	0.7286285192
146	0.7232095108
147	0.7179709112
148	0.7127148212
149	0.7075844617
150	0.7023358833
151	0.6971868407
152	0.692213298
153	0.6871244246
154	0.6821263336
155	0.6771834975
156	0.6724092927
157	0.667687256
158	0.6628876365
159	0.658178123
160	0.6534518595
161	0.6487567242
162	0.6441383029
163	0.6395772294
164	0.6350254876
165	0.6305548652
166	0.6261330001
167	0.6217197053
168	0.6174892373
169	0.6133043943
170	0.6090520013
171	0.6048457503
172	0.6007862428
173	0.5967702785
174	0.5926879447
175	0.5886496232
176	0.5846427523
177	0.5806869318
178	0.5767268026
179	0.5728227928
180	0.5689436011
181	0.5651193474
182	0.5613183012
183	0.5576787272
184	0.5540775501
185	0.5503847441
186	0.5467729871
187	0.5431993146
188	0.5396632566
189	0.5361452356
190	0.5326797697
191	0.5292505837
192	0.5258007885
193	0.5224992024
194	0.5191150735
195	0.5157663501
196	0.512458439
197	0.5092233121
198	0.5059720758
199	0.5027653015
200	0.4996010229
201	0.496469409
202	0.4933700538
203	0.4903162542
204	0.4872414518
205	0.4842141114
206	0.4812026841
207	0.4783116783
208	0.4753606626
209	0.4724760692
210	0.4695715283
211	0.4667114363
212	0.4639536758
213	0.4611386789
214	0.4583419821
215	0.4556617602
216	0.4529255461
217	0.4502961565
218	0.4476927646
219	0.4451150535
220	0.4424677027
221	0.4398453991
222	0.4372490979
223	0.4347123018
224	0.4321692677
225	0.4297298052
226	0.42723562
227	0.4247619497
228	0.4223144572
229	0.4198764694
230	0.4174708413
231	0.4151119489
232	0.4127573354
233	0.4104418519
234	0.4081916909
235	0.4058998847
236	0.4036300581
237	0.4013819458
238	0.3991552863
239	0.3969259968
240	0.3947499946
241	0.3925610228
242	0.3903928041
243	0.3882399458
244	0.3861291243
245	0.3840859055
246	0.3820122588
247	0.3799425971
248	0.3778922922
249	0.3759193487
250	0.3739645438
251	0.3719585648
252	0.3699711649
253	0.3680261671
254	0.366078838
255	0.3641436304
256	0.3622261691
257	0.3603171548
258	0.3584914321
259	0.3566195326
260	0.354759069
261	0.3529154754
262	0.351088555
263	0.3492781137
264	0.3475063809
265	0.3457321719
266	0.3439681515
267	0.342219884
268	0.3404904432
269	0.3387690123
270	0.3370646645
271	0.3353785497
272	0.3337001371
273	0.3320368275
274	0.3303926481
275	0.3287667215
276	0.3271928269
277	0.3256006356
278	0.3240525833
279	0.3225177977
280	0.3209454466
281	0.3193866665
282	0.3178380773
283	0.3163128244
284	0.3148385538
285	0.3133269393
286	0.3118282117
287	0.3103891671
288	0.3089297165
289	0.3074825649
290	0.3060390567
291	0.3046076778
292	0.3031882942
293	0.3017862408
294	0.3003958551
295	0.2990170091
296	0.2976305551
297	0.2962654829
298	0.2949006835
299	0.293548991
300	0.2922469158
301	0.2909554104
302	0.2896485274
303	0.2883522794
304	0.2870900908
305	0.2858380453
306	0.2845707879
307	0.2833137413
308	0.2820667964
309	0.2808094029
310	0.2795598216
311	0.2783217209
312	0.2771334218
313	0.2759324413
314	0.2747218498
315	0.2735180726
316	0.2723267602
317	0.271181734
318	0.2700244649
319	0.2688762454
320	0.2677158848
321	0.26656745
322	0.2654326871
323	0.26429798
324	0.2631728564
325	0.2620630968
326	0.2609721113
327	0.2599066833
328	0.2588206873
329	0.2577340223
330	0.2566640272
331	0.2556113929
332	0.2545501112
333	0.2535030656
334	0.2524729601
335	0.2514308991
336	0.2503970605
337	0.2493701332
338	0.2483840284
339	0.2473721152
340	0.246375358
341	0.2453860089
342	0.2443965925
343	0.2434118227
344	0.2424510971
345	0.2414800688
346	0.2405179458
347	0.239562891
348	0.238612092
349	0.2376840798
350	0.2367465095
351	0.2358145229
352	0.2348972253
353	0.2340069901
354	0.2331231069
355	0.2322241073
356	0.2313315507
357	0.2304519586
358	0.229591424
359	0.2287166155
360	0.2278386533
361	0.2269757912
362	0.2261093587
363	0.2252494326
364	0.2244224274
365	0.2235731472
366	0.2227313151
367	0.2219206695
368	0.221102177
369	0.2203021991
370	0.2194804055
371	0.2186643164
372	0.2178799612
373	0.2170752366
374	0.2162760578
375	0.2154797889
376	0.2147155361
377	0.2139302623
378	0.2131759494
379	0.2124071355
380	0.2116357642
381	0.2108958259
382	0.2101333445
383	0.2093838575
384	0.2086440838
385	0.2079225664
386	0.2071870758
387	0.2064746952
388	0.2057401367
389	0.205010774
390	0.2042980239
391	0.2035850616
392	0.2028767954
393	0.202164804
394	0.2014581482
395	0.2007799638
396	0.200093016
397	0.1994231974
398	0.1987334815
399	0.1980719644
400	0.1973910419
401	0.1967245271
402	0.1960577304
403	0.1953876913
404	0.1947291463
405	0.1940786467
406	0.1934201797
407	0.1927662217
408	0.1921275398
409	0.1914823983
410	0.1908402215
411	0.1902021136
412	0.1895669583
413	0.1889358095
414	0.1883086322
415	0.1877067981
416	0.1871086794
417	0.1864923744
418	0.1858858796
419	0.1852767269
420	0.1846713135
421	0.1840699357
422	0.1834715343
423	0.1828768222
424	0.1823057533
425	0.181723382
426	0.1811383891
427	0.1805771321
428	0.1800081087
429	0.1794388798
430	0.1788730929
431	0.1783137932
432	0.1777681023
433	0.1772256556
434	0.1766664966
435	0.1761106964
436	0.1755668128
437	0.1750166957
438	0.1744755838
439	0.1739509848
440	0.1734102825
441	0.1728781769
442	0.1723492056
443	0.1718175572
444	0.1712890407
445	0.1707689318
446	0.1702452461
447	0.1697309924
448	0.1692218051
449	0.1687250417
450	0.1682126558
451	0.1677213911
452	0.1672148952
453	0.1667192548
454	0.1662185571
455	0.1657259385
456	0.1652383546
457	0.1647511111
458	0.164260115
459	0.1637893437
460	0.1633040496
461	0.1628293097
462	0.1623548613
463	0.1618775363
464	0.1614082426
465	0.1609435005
466	0.1604792296
467	0.1600115471
468	0.1595457277
469	0.1590825133
470	0.1586299049
471	0.1581722025
472	0.1577166877
473	0.1572636967
474	0.1568281741
475	0.1563791923
476	0.1559404564
477	0.1555019018
478	0.1550752395
479	0.1546432054
480	0.1542061008
481	0.153785975
482	0.1533521846
483	0.1529288956
484	0.1525151641
485	0.1520961778
486	0.1516714142
487	0.1512492663
488	0.1508293871
489	0.1504111358
490	0.1499955963
491	0.1495961324
492	0.1491845085
493	0.1487820107
494	0.1483746818
495	0.1479762796
496	0.1475799707
497	0.147182881
498	0.1467828478
499	0.1463924496
500	0.1459964358
501	0.1456026475
502	0.1452152565
503	0.1448298757
504	0.1444407806
505	0.1440675866
506	0.1436832958
507	0.1433009845
508	0.1429206468
509	0.1425415911
510	0.1421644859
511	0.1417961314
512	0.1414227265
513	0.1410635978
514	0.1406938181
515	0.1403259215
516	0.1399586238
517	0.1395940701
518	0.1392378211
519	0.1388767956
520	0.1385293915
521	0.138178182
522	0.1378222427
523	0.1374679679
524	0.137115466
525	0.1367682116
526	0.1364252007
527	0.1360763769
528	0.1357292873
529	0.1353839199
530	0.1350411003
531	0.1346990328
532	0.134359484
533	0.1340323311
534	0.1336950084
535	0.1333659809
536	0.1330326282
537	0.1327006916
538	0.1323809387
539	0.1320520563
540	0.1317247613
541	0.1313980686
542	0.1310729565
543	0.1307531247
544	0.1304372625
545	0.1301167771
546	0.1297982008
547	0.1294811419
548	0.1291655979
549	0.128856806
550	0.1285494748
551	0.128240885
552	0.1279302771
553	0.1276211406
554	0.1273192678
555	0.1270161552
556	0.1267111392
557	0.1264069975
558	0.1261047477
559	0.1258039134
560	0.1255044852
561	0.1252064539
562	0.1249098101
563	0.1246144258
564	0.124329266
565	0.124035598
566	0.1237438144
567	0.1234535485
568	0.1231733175
569	0.1228881115
570	0.122604209
571	0.1223188464
572	0.122043396
573	0.1217691867
574	0.1214874585
575	0.1212095318
576	0.1209302621
577	0.1206520469
578	0.1203750902
579	0.1201038357
580	0.1198282887
581	0.1195631872
582	0.1192908791
583	0.119019294
584	0.1187492914
585	0.118488636
586	0.1182199346
587	0.1179556428
588	0.1176943728
589	0.1174290483
590	0.1171652863
591	0.116907316
592	0.1166540822
593	0.1163931284
594	0.1161363536
595	0.115878322
596	0.1156210072
597	0.1153729398
598	0.1151203609
599	0.1148665431
600	0.1146136516
601	0.1143619608
602	0.1141189098
603	0.1138691066
604	0.1136243632
605	0.1133762503
606	0.1131335395
607	0.1128877644
608	0.1126451831
609	0.1124010698
610	0.1121580014
611	0.1119162202
612	0.1116753726
613	0.1114352603
614	0.1111984768
615	0.1109676687
616	0.1107306675
617	0.1104937001
618	0.1102656577
619	0.1100314823
620	0.1097981271
621	0.1095727988
622	0.1093413967
623	0.1091107956
624	0.1088846898
625	0.1086628714
626	0.1084385406
627	0.1082116007
628	0.1079873467
629	0.1077689509
630	0.1075441613
631	0.1073241386
632	0.1071013862
633	0.1068831037
634	0.1066657128
635	0.1064522686
636	0.1062330059
637	0.1060181115
638	0.1057994973
639	0.105584436
640	0.1053680735
641	0.1051519972
642	0.1049377256
643	0.1047238741
644	0.1045110674
645	0.1043026388
646	0.1040932375
647	0.1038864111
648	0.1036768027
649	0.1034715692
650	0.1032636477
651	0.1030565564
652	0.1028502906
653	0.1026507517
654	0.1024455146
655	0.1022410928
656	0.102039348
657	0.1018358243
658	0.1016331061
659	0.1014379642
660	0.1012435811
661	0.1010499525
662	0.1008570741
663	0.1006620862
664	0.1004678568
665	0.1002711437
666	0.1000765754
667	0.09988088379
668	0.09968595374
669	0.099491781
670	0.0992983647
671	0.09910564378
672	0.09891701482
673	0.09872500681
674	0.09853777769
675	0.09834718356
676	0.0981573226
677	0.09797214392
678	0.09778424806
679	0.09759859257
680	0.09741223757
681	0.0972320289
682	0.09704702071
683	0.09686245363
684	0.09668183585
685	0.09649860826
686	0.09631623264
687	0.09613433912
688	0.09595240652
689	0.09577184031
690	0.09559504413
691	0.09541587836
692	0.09523738314
693	0.09506066793
694	0.0948846103
695	0.09470781284
696	0.09453301673
697	0.09435673907
698	0.0941818171
699	0.09400764775
700	0.09383412219
701	0.09366123701
702	0.09348898879
703	0.09331679357
704	0.09314477118
705	0.0929789662
706	0.0928116784
707	0.09264142622
708	0.09247732948
709	0.09230825761
710	0.09214530655
711	0.09198294108
712	0.0918159214
713	0.09164913675
714	0.09148350094
715	0.09131868528
716	0.09115395445
717	0.09099122619
718	0.09082763884
719	0.090665064
720	0.09050307217
721	0.09034115909
722	0.09018469775
723	0.0900240057
724	0.08986418479
725	0.08970459663
726	0.08954815066
727	0.08939225729
728	0.0892369137
729	0.08908402836
730	0.08892644486
731	0.08877459432
732	0.08861806656
733	0.08846724065
734	0.08831257668
735	0.08815813868
736	0.0880088129
737	0.08785643845
738	0.08770329219
739	0.08755087438
740	0.08739875971
741	0.08724839713
742	0.08709773301
743	0.08694759132
744	0.08679746974
745	0.08665244694
746	0.08650289042
747	0.08635423801
748	0.08620726113
749	0.08606411044
750	0.08592144555
751	0.08577926407
752	0.08563254607
753	0.08548788425
754	0.08534707714
755	0.08520460956
756	0.08505975766
757	0.08491822465
758	0.08477466261
759	0.08463607316
760	0.08449381038
761	0.08435161982
762	0.08421101482
763	0.0840741786
764	0.08393446911
765	0.08379850853
766	0.08366090038
767	0.08352135595
768	0.08338227946
769	0.0832447499
770	0.08310887493
771	0.08297543048
772	0.08284040962
773	0.08270780539
774	0.082571268
775	0.08243625832
776	0.0823005807
777	0.08216535241
778	0.08203282345
779	0.08190072947
780	0.0817678026
781	0.08163419755
782	0.08150103198
783	0.081372429
784	0.08124235539
785	0.08111040113
786	0.08098298138
787	0.08085184376
788	0.08072212064
789	0.0805958725
790	0.08046814209
791	0.08033855153
792	0.08020956611
793	0.08008078549
794	0.07995340252
795	0.07982560635
796	0.07970199986
797	0.07957475996
798	0.07945008006
799	0.07932759096
800	0.07920247441
801	0.07907622718
802	0.07895088788
803	0.07882691688
804	0.07870234868
805	0.07857762854
806	0.07845375973
807	0.07833238614
808	0.07821139557
809	0.07809247953
810	0.07797105526
811	0.07784917943
812	0.07772961265
813	0.07760827517
814	0.07749110019
815	0.07737259331
816	0.07725249541
817	0.07713209085
818	0.07701272092
819	0.07689561395
820	0.07677887065
821	0.07666034182
822	0.07654309656
823	0.07642738733
824	0.07631203547
825	0.07619440316
826	0.07607713635
827	0.07596158907
828	0.07584563148
829	0.07572939853
830	0.07561487125
831	0.07550329232
832	0.07539057349
833	0.07527627731
834	0.07516305997
835	0.07504920392
836	0.07493568831
837	0.07482346083
838	0.07471059824
839	0.07459903164
840	0.07448701413
841	0.07437533688
842	0.07426719003
843	0.07415936697
844	0.07404798428
845	0.07393933903
846	0.07382995386
847	0.07371992457
848	0.073610227
849	0.07350103898
850	0.07339392468
851	0.07328712992
852	0.07317866553
853	0.07307007422
854	0.07296241378
855	0.072856824
856	0.07274951173
857	0.07264251938
858	0.07253675166
859	0.07243129714
860	0.07232523835
861	0.07222140616
862	0.07211683811
863	0.07201161807
864	0.0719086583
865	0.07180406185
866	0.07169972463
867	0.07159660014
868	0.07149478111
869	0.07139223323
870	0.07128904487
871	0.07118616804
872	0.07108371129
873	0.0709813848
874	0.07087936614
875	0.0707776447
876	0.07067631662
877	0.07057467575
878	0.07047375264
879	0.07037495094
880	0.07027544215
881	0.07017718649
882	0.07007921268
883	0.06997967265
884	0.06988051166
885	0.0697843481
886	0.06968845761
887	0.06959178507
888	0.06949356594
889	0.06939742524
890	0.06929925593
891	0.06920136773
892	0.06910415148
893	0.06900904937
894	0.06891421604
895	0.06881781933
896	0.06872123534
897	0.06862536933
898	0.06852970149
899	0.06843440785
900	0.06833938325
901	0.06824721593
902	0.06815216327
903	0.06805789782
904	0.0679637405
905	0.06787162308
906	0.06777976226
907	0.06768903246
908	0.06759599233
909	0.06750305951
910	0.06741215859
911	0.06731985464
912	0.06723030423
913	0.06713904964
914	0.06704691757
915	0.06695542778
916	0.06686419169
917	0.0667758008
918	0.06668463
919	0.06659410922
920	0.06650449951
921	0.06641614269
922	0.06632700286
923	0.06623996437
924	0.06615228803
925	0.06606311408
926	0.06597420244
927	0.06588805411
928	0.06579968302
929	0.06571142357
930	0.06562594284
931	0.06553815735
932	0.06545125151
933	0.06536642747
934	0.06527889042
935	0.06519265065
936	0.06510664364
937	0.06502026846
938	0.06493470983
939	0.06484865756
940	0.06476283733
941	0.06467724823
942	0.06459147461
943	0.06450700299
944	0.06442275721
945	0.06433811364
946	0.06425369648
947	0.06416939878
948	0.06408532624
949	0.064001478
950	0.06391791246
951	0.06383681963
952	0.06375593988
953	0.0636743896
954	0.06359221228
955	0.06351193384
956	0.06342959262
957	0.06334731226
958	0.06326539068
959	0.06318591018
960	0.06310663661
961	0.06302585655
962	0.06294473799
963	0.06286515407
964	0.06278444176
965	0.06270394068
966	0.06262582504
967	0.06254557428
968	0.06246547002
969	0.06238625708
970	0.06230660405
971	0.06222778922
972	0.06214853527
973	0.06206904075
974	0.0619908117
975	0.06191224921
976	0.06183377351
977	0.06175540834
978	0.06167866637
979	0.06160296208
980	0.06152585902
981	0.06145052543
982	0.06137317062
983	0.06129733952
984	0.06122170172
985	0.06114446167
986	0.061067938
987	0.06099160977
988	0.06091596799
989	0.06083981441
990	0.06076385502
991	0.06068876303
992	0.06061537154
993	0.06054216427
994	0.06046760314
995	0.06039259891
996	0.06031840226
997	0.06024505302
998	0.06017270362
999	0.0600985043
